what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231735081
error,log,,,"Unhandled event loop exception",1304231735121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231737438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231739121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231739570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231754453
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1304231757730
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231767054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231767153
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304231767187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231767234
error,log,,,"Unhandled event loop exception",1304231767434
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304231768171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231771749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231771879
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231771887
error,log,,,"Unhandled event loop exception",1304231772025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231786896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231789023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231789478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231803909
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304231804903
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304231811709
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304231828530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231830959
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304231831895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231837638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231846674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231848128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231848554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231854563
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304231859063
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231861411
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231868822
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304231871465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231873412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231888648
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304231893166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231895233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231903459
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304231910627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231916199
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231951905
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304231954006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231955309
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304231993401
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304231998768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304232008155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232010193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232014750
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304232018583
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304232023708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232025775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232029886
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304232036750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232038571
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232040985
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304232044157
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232046543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232071607
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304232081656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232084859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232098368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232099516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232132877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232144909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232186460
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304232212632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232216085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232216176
error,log,,,"Unhandled event loop exception",1304232216225
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232231018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304232254460
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1304232300894
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1304232302485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1304232332434
